Id,Identifier,Title,Description,Thumbnail,PlaylistIdentifier,ClusterId,SubscriberCount,UpdatedStatisticDate,VideoCount,ViewCount
1,UCNw6Wy0q9U03g4HgP7tH-Ww,Андрій Черніков та програмування,"Цей канал присвячений розробці на .NET. В основному веброзробка. А також вивчення та використання інструментів, які допомагають розробляти, та без яких неможливо уявити сучасну роботу програмістом.",https://yt3.ggpht.com/1NhZ2oP-kL1njveSA57_CaL0k-V-Ak0OFfqpA6RaHuJl2_jgJXJvFiyQFNwrefMJCuEIyjcS6Q=s800-c-k-c0x00ffffff-no-rj,UUNw6Wy0q9U03g4HgP7tH-Ww,2,575,2024-05-13 16:06:18.5989275,27,9716
2,UCLRWnQw_G3kegbb4z-aRKSQ,Сергій Бабіч та Дивовижний світ веброзробки,"На цьому каналі ви знайдете цікаві пізнавальні відео про HTML та CSS, теревені з різними цікавими людьми зі світу ІТ, тренувальні та не дуже співбесіди та багато чого іншого!",https://yt3.ggpht.com/DIveTVb0QFUBWyQJnjk0Gc4OTak6p0OkT2-8UQjKqqVmsdOqtfaJQyIX6OBef9BNZb3QF5eO=s800-c-k-c0x00ffffff-no-rj,UULRWnQw_G3kegbb4z-aRKSQ,2,11300,2024-05-13 16:06:18.9556945,69,288455
3,UCVp19wIb16u8fjP3jgewBYA,Попелюха 👾 Тестування ПЗ,"Тут ти знайдеш найбільший в Україні курс з Тестування ПЗ, відео про роботу QA та Automation і гайди з технологій.

- Потрібна для роботи чи працевлаштування теорія і практика
- Пояснення простою мовою замість зазубрених термінів
- Підтримка підписників і чат для питань-відповідей в телеграмі - t.me/popeliuha i t.me/popeliuhaqa
- Контент для початківців і професіоналів, manual та automation інженерів

Ще деякі мої курси:
-Практичний курс з МАНУАЛЬНОГО тестування - https://youtu.be/GZP_1clbsLU
-Курс з Автоматизації тестування на Selenium C# - https://youtu.be/1GibZUk2p94

Раджу відвідати веб-сайт:
https://popeliuha.net/

Я - Senior .Net Test Automation, 5 років досвіду, 4 проєкти за плечима, спікерка на ІТ-івентах та авторка 4х курсів з Тестування ПЗ.

Курсів на юдемі більше не існує 😇

Слава Україні!
",https://yt3.ggpht.com/oBzBCv1tYkerMSlUallAgMgOzVyfp8xdzK6mJKoln8euupsFYVOCwnLY3GlP3hXh4XKwPedG=s800-c-k-c0x00ffffff-no-rj,UUVp19wIb16u8fjP3jgewBYA,2,33500,2024-05-13 16:06:19.0362704,204,1946892
4,UCoWPg9sPY2zryuKQLnoq4wA,Dev Routine,"Привіт друже, вітаю тебе на нашому ламповому каналі, де ми обкашлюємо питаннячка які повʼязані з Веб розробкою та айті в цілому.
Почувайся як вдома🌸
",https://yt3.ggpht.com/z0wAxIN9khigDi-T7IEsLIu2OezeX1Cxgw93ostEW6GW8B0yqNS-V6imw4_86QHot0dsd1Qvfw=s800-c-k-c0x00ffffff-no-rj,UUoWPg9sPY2zryuKQLnoq4wA,2,1760,2024-05-13 16:06:19.1162040,13,24857
5,UC-648eMxRKdDPJMm5sPd82w,Maksym Rudnyi,"Всім привіт.

Мене звати Рудний Максим і я займають розробкою програмного забезпечення понад 10 років. За всі ці роки я отримав неоціненний досвід і хочу поділитись ним з іншими.

На даному каналі я буду викладати туторіали і навчальні матеріали для навчання програмуванню. Найкраще навчатися у спеціалістів які безпосередньо практикують програмування.

Підписуйтесь на канал, ставте свої уподобайки та навчаймось разом. Попереду довгий, але неймовірно цікавий та корисний шлях.",https://yt3.ggpht.com/ytc/AIdro_lSG2UUvGv_7tBh50DQxWapl10-5soDwuiXNIAeGafhLQ=s800-c-k-c0x00ffffff-no-rj,UU-648eMxRKdDPJMm5sPd82w,2,12800,2024-05-13 16:06:19.1995245,95,252417
6,UCY3QVeB3DdIAU95OsYzxrDw,Школа програмування,"На каналі ви знайдете цікаві відео на тему програмування 🔥 
Тут будуть відео на теми Python, Java, C#, C++ та розробки ігор 🎯

Тож підписуйтесь на канал 😁
",https://yt3.ggpht.com/BONBZcEs-RXk6o5DwrZGkb4PPHJu43QeOjd80ko_IA9MmHRiRZ709EDbFeNU1YDFaIb4Xo8GPg=s800-c-k-c0x00ffffff-no-rj,UUY3QVeB3DdIAU95OsYzxrDw,2,11400,2024-05-13 16:06:19.3320253,135,656963
8,UCszFm4LE06QDXO_pzWN54CQ,Шо по коду?,"🇺🇦 Технічно-популярний подкаст «Шо по коду?» про програмну інженерію та технології. Ділимось досвідом, розповідаємо байки та обговорюємо цікаві теми та новини інформаційного світу.

Ведучі:

‣ пан Ігор → https://twitter.com/ikalnytskyi
‣ пан Роман → https://twitter.com/rpodoliaka
‣ пан Руслан → https://twitter.com/rkiyanchuk

",https://yt3.ggpht.com/45nPor3eizAYSQAOfb_VpTad5RffFK17K_HX1-8ppUUhzwE3YZGhlabscU7vgAjud6_SLPae=s800-c-k-c0x00ffffff-no-rj,UUszFm4LE06QDXO_pzWN54CQ,2,1700,2024-05-13 16:06:19.4679326,102,50491
9,UCg-txtmOEQ8BniR8008O1mA,Курс React для початківців від Vitalii Ruban,"Цей канал присвячений курсу React для початківців, створеного на підтримку Українців під час війни. Курс безкоштовний, а всі матеріали відкриті за посиланням - https://github.com/Drag13/react-learning-course-short

Під час курсу ми обговоримо наступні теми:
👉 Що таке React
👉 React - старт з нуля
👉 Компоненти в React
👉 Як створити компоненту в React
👉 Стилі в React - CSS, CSS Modules, SCSS, CSSinJS
👉 Інструменти керування станом React застосунку
👉 React та форми
👉 React та React Router
👉 React та комунікація з сервером
👉 React та UI бібліотеки 
👉 React та тести

Практичний курс доступний за посиланням: https://youtube.com/playlist?list=PLx9b8ngesbGEXrHBR8fBcQFfYyAeZv59d

",https://yt3.ggpht.com/634mGysiYXC5Zq_mOB5KR6J_bJ3necjVFoBas4FExO8TkcEngyi9mEVB1Oxek9fLwwWuWY2gpA=s800-c-k-c0x00ffffff-no-rj,UUg-txtmOEQ8BniR8008O1mA,2,7350,2024-05-13 16:06:19.6138724,97,224281
10,UCZZh52kFFDLW2OomZuLih0Q,Любомир Лужний,Chief executive officer at VNV Solutions,https://yt3.ggpht.com/Qd_OjxjhAp4wuFbk2Dp5hyhh4ZSN3T1hmkqhv4BhcrmOd1XWblIv9XLY_IiDNNRk7U8eNpuc56E=s800-c-k-c0x00ffffff-no-rj,UUZZh52kFFDLW2OomZuLih0Q,2,78,2024-05-13 16:06:19.7069860,75,30382
11,UCMtccTSYdtDhGdE-Clj6bWA,Roman Povzyk | Data Analyst Mentor,"My name is Roman Povzyk, and for a year now I've been helping data analytics beginners increase their chances of getting an offer. 

If you want to start a career in data analytics, then send me a message on LinkedIn and let's talk: https://www.linkedin.com/in/romanpovzyk/.
",https://yt3.ggpht.com/iPt8stWtLTOxeOuUlAJIgvbqIXnCzGJCxdAOpkKpVL4vcQOl-5wyp0PISOsGjbXfTq9Gzh_L=s800-c-k-c0x00ffffff-no-rj,UUMtccTSYdtDhGdE-Clj6bWA,2,3190,2024-05-13 16:06:19.7972472,41,150371
12,UCZK2rXmtwiUvJAIPEjIN8bA,Ганна Пилєва: дивовижний data-світ,"Мене звати Ганна, я амбасадорка Python, ІТ-спеціалістка з досвідом 8 років та сертифікована консультантка з працевлаштування.

Працюю в напрямі Machine Learning, вмію і люблю пояснювати складні речі простими словами та навчати програмуванню.

Тут розказую про 
🔹розвиток в програмуванні: як почати та як продовжувати,
🔹корисні для життя, програмування та аналізу даних фішки штучного інтелекту,
🔹розвиток в Data Science/Machine Learning,
🔹окремі концепції в Data Science/Machine Learning простою мовою,
🔹фішки мислення, які допомагають досягати високих результатів в карʼєрі та житті.

Давайте зростати разом! 🚀
",https://yt3.ggpht.com/2TPjGGWB7BQ865eWTNPMqJGR75GzuffPfZb-MsgwgBzbU6HX_oWmWo4r0VDPDHFSj6Tt3H75Ig=s800-c-k-c0x00ffffff-no-rj,UUZK2rXmtwiUvJAIPEjIN8bA,2,2160,2024-05-13 16:06:19.9193503,23,49480
14,UCY-rj3hY8XTAusH2OUia0vg,Від 0 до 1,,https://yt3.ggpht.com/wGiJec1VuKHuEykLX-cntHq-vEjT4x6LJGNUfrRztaZA8Soobomkf1YyZkuQuO1doSwviDtg=s800-c-k-c0x00ffffff-no-rj,UUY-rj3hY8XTAusH2OUia0vg,2,1610,2024-05-13 16:06:19.9911157,9,14081
15,UC1RVCVZP24iP19RrjM4lChQ,"Vasin Oleksii ","✌️😎 Новий канал: https://www.youtube.com/@oleksii-fr
👉ТА МІЙ ТЕЛЕГРАМ: https://t.me/vasin_fr
",https://yt3.ggpht.com/IGcgVMWHa-2YLk6tLFT07MrrxJSiT1Sz_A_JHtjhKHwPTqlgmao7-Yf8dIoJH1luKB26F1mXoWA=s800-c-k-c0x00ffffff-no-rj,UU1RVCVZP24iP19RrjM4lChQ,2,690,2024-05-13 16:06:20.0796828,17,16820
16,UCVUL5WIvKRoFaiBE3pgpW7g,"Не баг, а фіча","Канал про тестування та українську айтішечку. Якщо вам подобається, то можете задонатити на каву, або придбати підписку - https://www.buymeacoffee.com/notabug 

Також у нас є подкаст, переходьте за посиланнями внизу.

",https://yt3.ggpht.com/CuprkDX9s3-52gSaU6nQhcaxtGTRTyN2ilLPai3ESjGYy8aHh2pPqFjkLLpIVejiPgVZdfaPdw=s800-c-k-c0x00ffffff-no-rj,UUVUL5WIvKRoFaiBE3pgpW7g,2,1430,2024-05-13 16:06:20.1813276,15,20943
17,UCXX81n-9GiqTuDv5ZIXP_vA,DreyLiky Dev. 🇺🇦,"Привіт! Я створив бібліотеку ngx-os для Angular, щоб на її прикладі показати що чистий код існує =)
Тут я намагатимуся розповісти все що знаю і розумію щодо того, що таке чистий код і все це буде підкріплено реальними прикладами з Open Source проекту, який можна помацати на сайті, подивитися на github і встановити собі через npm. Дякую!
",https://yt3.ggpht.com/1h7g7fqEe79F5qRE-Dax_wA3mUZJB0ShpKxR-MtbnGQiRLo3FByk_zd3OqXpd-8hYqiSYwvchw=s800-c-k-c0x00ffffff-no-rj,UUXX81n-9GiqTuDv5ZIXP_vA,2,1320,2024-05-13 16:06:20.2639240,25,38958
18,UCKTCiArcX0m7GtJ4aZaNFog,Щепотін Dev,Все про React простими словами,https://yt3.ggpht.com/qOJk_3MxM4pIAOcBQ3F_EeqyMJL9HEwIWSrPIY6wZytcRXBRxtZZAFnCRIlNpCl5xf1oTqEewg=s800-c-k-c0x00ffffff-no-rj,UUKTCiArcX0m7GtJ4aZaNFog,2,1310,2024-05-13 16:06:20.3379909,27,30153
19,UCdxjwlPzirrhXvJULao66XA,LeetCode Україна,"Вітаю на каналі де я розв’язую алгоритмічні задачі українською мовою.

Тут ви знайдете відео-розбори щоденних задач та щотижневих змагань. Відео виходять щодня о шостій вечора.

Увага приділяється не лише ефективному розв’язанню задачі, але й грамотному його оформленні: дотримуються принципи ООП та використовуються шаблони проєктування. 

Цей канал жодним чином не афілійований з ТОВ LeetCode і є моєю особистою ініціативою. Контент каналу є похідним об'єктом авторського права, створений мною на основі публічно доступного контенту LeetCode. До контенту цього каналу не застосовуються умови обслуговування LeetCode і він жодним чином їх не порушує.
",https://yt3.ggpht.com/M_SWKfAvntnR23bFRUTY2WYFiKgiS6hJVOn2fROX3tF0I3KU6PvMQzzrSLvHGRa1IKU0RBod=s800-c-k-c0x00ffffff-no-rj,UUdxjwlPzirrhXvJULao66XA,2,682,2024-05-13 16:06:20.4400724,131,13481
20,UCpOB-A7emv7TxMcCrf4wJMw,Потестим в проді,"Подкаст про розробку та технології.

Телеграм канал: https://t.me/test_in_prod
",https://yt3.ggpht.com/K9j1v6z71c_DwW4uSBhBWiUjusbePTFtQ5rs24SzUzzBNlJp1cGI9W0JZdg18t-K3GQ28fuq5w=s800-c-k-c0x00ffffff-no-rj,UUpOB-A7emv7TxMcCrf4wJMw,2,378,2024-05-13 16:06:20.5141849,13,22907
21,UCVPUBVRgRBIZKuD3MOkVPMw,Програмування Українською,"Відеоуроки, туторіали, лекції на тему програмування. Українською мовою.",https://yt3.ggpht.com/m6Fl1LF54hmBNpVbw_0rHs_p8rwgLI2cJsrle-3QKl8CnzPEMT4GJuojpoBrz4zfrAxx9aVVhCk=s800-c-k-c0x00ffffff-no-rj,UUVPUBVRgRBIZKuD3MOkVPMw,2,6850,2024-05-13 16:06:20.5811299,72,232056
22,UCIbxqSfcCPE4sqE7e8JUmNA,Девопс На Дроті,"DevOps повинен володіти великою кількістю інстументів (Docker, Kubernetes, Jenkins, Terraform, AWS/GCP/Azure, ELK/Datadog, Python, JS, Ruby...) 
Але основою для всього є надійне знання Лінукс та розуміння мереж. І якщо цього досі немає на просторах українського ютубу, не біда. Ми додамо:)
",https://yt3.ggpht.com/sCIKeunIQCDIH7LPNq2LmhH4XdMle0_Dr_pYvidDJVSWkDPkkYQkcbfRVdU17qPucU9JbW7W=s800-c-k-c0x00ffffff-no-rj,UUIbxqSfcCPE4sqE7e8JUmNA,2,1480,2024-05-13 16:06:20.7054018,23,25458
23,UCyQiI9vbRVvIug0V9Y7C76Q,Андрій Морозов,"Канал створений для публікації стрімів та відеозаписів моїх занять з програмування та веб-розробки, які викладаються у Житомирській політехніці",https://yt3.ggpht.com/_CxqRREYj7VYquVpxKtaXK8Xoi6-HmkBBSQkmRodJhkuEDp9pKwRyTz_yEcxoCEbj9mI5jg5=s800-c-k-c0x00ffffff-no-rj,UUyQiI9vbRVvIug0V9Y7C76Q,2,989,2024-05-13 16:06:20.7763602,144,79195
24,UCEa5ctU7c4bGklFUX84ggBQ,Блоган,"Мене звати Деміен Блоган і на цьому каналі я викладаю уроки по вивченню мов програмування С++ та C#.  Також тут ви найдете відео по іншим темам із сфери ІТ. Я не вважаю себе професіоналом в програмуванні. Я просто людина, яка має деякі знання і хоче ними поділитися з вами. Я можу бути неправий у чомусь і можу допускати помилки. Якщо ви замітили це, то можете указати це в коментарях. Лише одне прохання - будьте адекватними.

Якщо вам подобаються мої відео, то ви можете віддячити мені, підтримавши мій канал наступними способами: поставити лайк, підписатися на канал, написати коментар, стати спонсором каналу, або задонатити по посиланню нижче. Цими діями ви популяризуєте мій канал та мотивуєте мене займатися цим каналом.
Посилання на донати: https://blogan.diaka.ua/programming
",https://yt3.ggpht.com/A-JL98LlguZvNyoK-UaHEnsd9ecJU6ChYFEDEwI7eEX-jyDfnoqG1H9N7W0Q7lG2bbKWNEoFKg=s800-c-k-c0x00ffffff-no-rj,UUEa5ctU7c4bGklFUX84ggBQ,2,7310,2024-05-13 16:06:20.9106364,365,648818
25,UCrvXPmPZ8pXsMtLRAfb-vIA,HelpInformatik.NET.UA,"Відеоуроки та інші корисні матеріали для вчителя інформатики та інших людей які цікавляться освітою.
Будемо вдячні за підписку на канал і за Вашу активність у вигляді лайків і коментарів під відео.",https://yt3.ggpht.com/ytc/AIdro_lIlHyTpsX32Ob0W9pcf0NB_0JUwCB0acE-kFa5e9wQKe4=s800-c-k-c0x00ffffff-no-rj,UUrvXPmPZ8pXsMtLRAfb-vIA,3,4210,2024-05-06 06:05:26.7480969,71,617729
26,UCZGKhYxqVgXWHl5yVu-WVfg,"ЛІЗА ПРО ДИЗАЙН ","Все про мене:

- У дизайні з 2018 року.
- Працювала як продакт дистанційно на Торонто,  потім переїхала сюди ж.
- До Торонто працювала на фрілансі, у студіях.
- Я реально багато працюю і моя кар'єра номер один для мене

Мої досягнення ( люблю свій шлях і що дизайн приніс у моє життя, а саме можливість бути стартап фаундером, я відповідаю за продукт, дизайн та бізнес розвиток):

- Отримали грант на перший стартап (1 млн 200 тисяч злот) та попали у Forbes. 
https://www.forbes.pl/biznes/vrpartments-wirtualna-rzeczywistosc-zrewolucjonizuje-kupowanie-mieszkan-z-rynku/wkymlmt
- Підняли інвестиції на другий стартап у Канаді, а потім півотнули ідею. 
https://ain.ua/2023/10/04/revmywork-z-ukrayinskymy-zasnovnykamy-zaluchyv-angelski-investycziyi/

Портфоліо:
У інст (LIZKHL) , а також є посилання на дрібл (https://dribbble.com/lkhlopkova), його оновлюю не так як інст бо у мене тільки один вихідний і не встигаю.

Ціль каналу, чесно - надихати та давати мотивацію 
",https://yt3.ggpht.com/QgD6_fscz-I1sZcCS00fnkw9k6kLj3aKZfuTWJzHiPyCf0tXbQpJp2a2FgSqmCOVqqT2fNXrrQ=s800-c-k-c0x00ffffff-no-rj,UUZGKhYxqVgXWHl5yVu-WVfg,2,24900,2024-05-13 16:06:20.9819445,123,912008
27,UCo8KNXmB8Yb_07FzwCL6HgQ,Навчаємося Разом,"Про мої курси: https://learningtogetherua.github.io/courses/
ДЛЯ ЗАПИТАНЬ ПРО FRONTEND: https://t.me/profrontendua 7 років створення якісного IT-контенту українською!
---
Створення сайтів (HTML, CSS, JS), комп'ютерна графіка (Photopea, Photoshop), Основи IT-освіти, Програмування у Scratch та mBlock 5
---
ПІДПИСКА ТА СПОНСОРСТВО - ПОДЯКУЙ автору каналу, отримуй бонуси для спонсорів:
https://www.youtube.com/channel/UCo8KNXmB8Yb_07FzwCL6HgQ/join



",https://yt3.ggpht.com/gAUE94a9JHDv2fT2vaG5cQ-hokOK23c4hGA43q1ReZkpBXqr26G3Z0p6OywKzOpvMFGqFPX1=s800-c-k-c0x00ffffff-no-rj,UUo8KNXmB8Yb_07FzwCL6HgQ,2,20300,2024-05-13 16:06:21.0471543,798,1322680
28,UChhNJ3SmzX_d7kMpSEMDfzg,Віктор Турський про програмування,"* Фундаментально про програмування
* Про процеси розробки ПЗ
* Про проектування
* Про те, як працють різні системи всередині

Автор каналу - Віктор Турський (Viktor Turskyi) 
Twitter - https://twitter.com/ViktorTurskyi 
Жабаскрипт (JabaScript) в телеграмі - https://t.me/jabascript

#програмування #інтернет  #programming #internet #javascript #mysql #dns #dhcp #https #tcp #linux 
",https://yt3.ggpht.com/zMpw5qH8Ry7gT7qqN4IvXHjXIwX5T4RuLxIANLvSJfBbpNUIAxvXkeiMt82n-p2ReeV6xPf74v8=s800-c-k-c0x00ffffff-no-rj,UUhhNJ3SmzX_d7kMpSEMDfzg,2,19700,2024-05-13 16:06:21.5486464,28,295851
29,UCR9dQ4gjlAjYG8XCpZX72wg,CodeUA,"CodeUA – це новий освітній проєкт компанії CyberBionic Systematics, створений під час війни для більшого згуртування української IT спільноти, для забезпечення сучасного вивчення програмування українською та обміну досвідом між IT спеціалістами.
CodeUA запрошує фахівців, які бажають ділитися своїми знаннями з українською аудиторією, стати авторами нашого нового проєкту. Хочете створювати курси програмування і популяризувати програмування українською? Надсилайте ваші ідеї та пропозиції на адресу codeua@cbsystematics.com. Особливо затребувані спеціалісти зі знанням таких мов верстання і програмування, як JavaScript (JS), C#, Java, Python, HTML та CSS. 
Ми плануємо публікувати на CodeUA відео уроки і вебінари пізнавального та навчального змісту з усіх напрямків IT освіти – розробка програмного забезпечення, тестування, прожект менеджмент, бізнес-аналітика в IT, вебдизайн, адміністрування та DevOps, тощо.
Окрім CodeUA слідкуйте за ITVDN – відео курси з програмування – https://itvdn.com/ua
",https://yt3.ggpht.com/e4s300_3A90xJ1hNt4oPSop-iWmxI9Bug6skXh4rA0nwMgu994AsrAt2NC6UFp-iqfW8GhfQ=s800-c-k-c0x00ffffff-no-rj,UUR9dQ4gjlAjYG8XCpZX72wg,2,26800,2024-05-13 16:06:21.6243161,204,888511
30,UCEH5y2m_i1-dqnV0oQoJTPQ,Андріан Карсанашвілі,"Sometimes I write the code, but other times, the code writes me",https://yt3.ggpht.com/KIm2pd8DLxUwp85mDxCwLHnCB_T8Y-J6CCgWcUFR0pybe06fK3k7129KAyCGy0pJ1E-W7D098w=s800-c-k-c0x00ffffff-no-rj,UUEH5y2m_i1-dqnV0oQoJTPQ,2,878,2024-05-13 16:06:21.7780360,72,29952
31,UCqcUlok71yeLPuYzFiz4UXQ,SNIEDA | PROGRAMMING,Вивчаєте JavaScript та React js ? 🤔,https://yt3.ggpht.com/0ujaEUxKPDQ6gH0ovhMcXA0BNadcbCAv5DKb7ieyDJ0fvnhp-0HMZb3pzyWj0CyTkQS4-_d1=s800-c-k-c0x00ffffff-no-rj,UUqcUlok71yeLPuYzFiz4UXQ,2,7900,2024-05-13 16:06:21.9256588,5,109202
32,UCrkPsvLGln62OMZRO6K-llg,Nick Chapsas,"Hello everybody I’m Nick Chapsas and this is my YouTube channel. ",https://yt3.ggpht.com/ytc/AIdro_k-cMZFtCUd5MeJjN-uY6ESo6tT4yxD0LBdBsJq8ifZrcE=s800-c-k-c0x00ffffff-no-rj,UUrkPsvLGln62OMZRO6K-llg,1,290000,2024-05-20 17:31:01.5363242,506,34293880
33,UCIMRGVXufHT69s1uaHHYJIA,Les Jackson,"I aim to provide high-quality educational .NET content, specializing in APIs and backend development.",https://yt3.ggpht.com/ytc/AIdro_mav525XFbyuZ2_nEZvx5qM_BrSQa8A4NqeWGCCC0E4qG8=s800-c-k-c0x00ffffff-no-rj,UUIMRGVXufHT69s1uaHHYJIA,1,98900,2024-05-20 17:31:01.6676872,44,5551230
34,UClz49zOCnzsclUJY-t62lIw,Amichai Mantinband,"Hey there! I'm Amichai, a software engineer at Microsoft and a youtube content creator, making industry and enterprise-level video tutorials about coding, design patterns, architecture, and the latest and greatest libraries, tricks, and tips you should definitely know about! I can also be found on Twitter and LinkedIn where I make fun coding-related infographics.
",https://yt3.ggpht.com/iEWRcThJSwgMdCQWnAutNwCrYVb8MB4NJwZ0WfqLasI4cdKx3Mms43EhZikoU33F4PgYX1sKkK0=s800-c-k-c0x00ffffff-no-rj,UUlz49zOCnzsclUJY-t62lIw,1,43700,2024-05-20 17:31:01.7468966,56,2201808
